0,1,2,3,4,5,6,7,Fit
1,2,4,7,3,8,6,5,27
1,2,4,7,5,3,6,8,25
1,2,4,7,5,3,8,6,28
1,2,4,7,5,6,3,8,24
1,2,4,7,5,6,8,3,27
1,2,4,7,5,8,3,6,27
1,2,4,7,5,8,6,3,27
1,2,4,7,6,3,5,8,26
1,2,4,7,6,3,8,5,27
1,2,4,7,6,5,3,8,26
1,2,4,7,6,5,8,3,25
1,2,4,7,6,8,3,5,28
1,2,4,7,6,8,5,3,26
1,2,4,7,8,3,5,6,27
1,2,4,7,8,3,6,5,25
1,2,4,7,8,5,3,6,28
1,2,4,7,8,5,6,3,26
1,2,4,7,8,6,3,5,27
1,2,4,7,8,6,5,3,27
1,2,4,8,3,5,6,7,26
1,2,4,8,3,5,7,6,26
1,2,4,8,3,6,5,7,28
1,2,4,8,3,6,7,5,28
1,2,4,8,3,7,5,6,26
1,2,4,8,3,7,6,5,26
1,2,4,8,5,3,6,7,27
1,2,4,8,5,3,7,6,27
1,2,4,8,5,6,3,7,28
1,2,4,8,5,6,7,3,28
1,2,4,8,5,7,3,6,28
1,2,4,8,5,7,6,3,28
1,2,4,8,6,3,5,7,28
1,2,4,8,6,3,7,5,27
1,2,4,8,6,5,3,7,27
1,2,4,8,6,5,7,3,26
1,2,4,8,6,7,3,5,27
1,2,4,8,6,7,5,3,27
1,2,4,8,7,3,5,6,27
1,2,4,8,7,3,6,5,26
1,2,4,8,7,5,3,6,28
1,2,4,8,7,5,6,3,27
1,2,4,8,7,6,3,5,28
1,2,4,8,7,6,5,3,28
1,2,5,3,4,6,7,8,24
1,2,5,3,4,6,8,7,25
1,2,5,3,4,7,6,8,26
1,2,5,3,4,7,8,6,28
1,2,5,3,4,8,6,7,25
1,2,5,3,4,8,7,6,26
1,2,5,3,6,4,7,8,25
1,2,5,3,6,4,8,7,26
1,2,5,3,6,7,4,8,26
1,2,5,3,6,7,8,4,28
1,2,5,3,6,8,4,7,27
1,2,5,3,6,8,7,4,28
1,2,5,3,7,4,6,8,26
1,2,5,3,7,4,8,6,27
1,2,5,3,7,6,4,8,25
1,2,5,3,7,6,8,4,26
1,2,5,3,7,8,4,6,27
1,2,5,3,7,8,6,4,27
1,2,5,3,8,4,6,7,26
1,2,5,3,8,4,7,6,26
1,2,5,3,8,6,4,7,27
1,2,5,3,8,6,7,4,27
1,2,5,3,8,7,4,6,28
1,2,5,3,8,7,6,4,28
1,2,5,4,3,6,7,8,23
1,2,5,4,3,6,8,7,27
1,2,5,4,3,7,6,8,25
1,2,5,4,3,7,8,6,27
1,2,5,4,3,8,6,7,27
1,2,5,4,3,8,7,6,25
1,2,5,4,6,3,7,8,24
1,2,5,4,6,3,8,7,27
1,2,5,4,6,7,3,8,25
1,2,5,4,6,7,8,3,27
1,2,5,4,6,8,3,7,28
1,2,5,4,6,8,7,3,27
1,2,5,4,7,3,6,8,25
1,2,5,4,7,3,8,6,28
1,2,5,4,7,6,3,8,24
1,2,5,4,7,6,8,3,28
1,2,5,4,7,8,3,6,27
1,2,5,4,7,8,6,3,28
1,2,5,4,8,3,6,7,27
1,2,5,4,8,3,7,6,27
1,2,5,4,8,6,3,7,28
1,2,5,4,8,6,7,3,28
1,2,5,4,8,7,3,6,28
1,2,5,4,8,7,6,3,28
1,2,5,6,3,4,7,8,25
1,2,5,6,3,4,8,7,27
1,2,5,6,3,7,4,8,26
1,2,5,6,3,7,8,4,28
1,2,5,6,3,8,4,7,28
1,2,5,6,3,8,7,4,28
1,2,5,6,4,3,7,8,25
1,2,5,6,4,3,8,7,26
1,2,5,6,4,7,3,8,26
1,2,5,6,4,7,8,3,28
1,2,5,6,4,8,3,7,27
1,2,5,6,4,8,7,3,28
1,2,5,6,7,3,4,8,26
1,2,5,6,7,3,8,4,27
1,2,5,6,7,4,3,8,26
1,2,5,6,7,4,8,3,28
1,2,5,6,7,8,3,4,26
1,2,5,6,7,8,4,3,27
1,2,5,6,8,3,4,7,28
1,2,5,6,8,3,7,4,28
1,2,5,6,8,4,3,7,28
1,2,5,6,8,4,7,3,28
1,2,5,6,8,7,3,4,27
1,2,5,6,8,7,4,3,27
1,2,5,7,3,4,6,8,26
1,2,5,7,3,4,8,6,26
1,2,5,7,3,6,4,8,25
1,2,5,7,3,6,8,4,27
1,2,5,7,3,8,4,6,26
1,2,5,7,3,8,6,4,28
1,2,5,7,4,3,6,8,26
1,2,5,7,4,3,8,6,28
1,2,5,7,4,6,3,8,25
1,2,5,7,4,6,8,3,27
1,2,5,7,4,8,3,6,27
1,2,5,7,4,8,6,3,27
1,2,5,7,6,3,4,8,26
1,2,5,7,6,3,8,4,28
1,2,5,7,6,4,3,8,26
1,2,5,7,6,4,8,3,26
1,2,5,7,6,8,3,4,27
1,2,5,7,6,8,4,3,25
1,2,5,7,8,3,4,6,28
1,2,5,7,8,3,6,4,28
1,2,5,7,8,4,3,6,27
1,2,5,7,8,4,6,3,27
1,2,5,7,8,6,3,4,26
1,2,5,7,8,6,4,3,26
1,2,5,8,3,4,6,7,27
1,2,5,8,3,4,7,6,25
1,2,5,8,3,6,4,7,28
1,2,5,8,3,6,7,4,26
1,2,5,8,3,7,4,6,27
1,2,5,8,3,7,6,4,27
1,2,5,8,4,3,6,7,26
1,2,5,8,4,3,7,6,27
1,2,5,8,4,6,3,7,27
1,2,5,8,4,6,7,3,28
1,2,5,8,4,7,3,6,28
1,2,5,8,4,7,6,3,28
1,2,5,8,6,3,4,7,28
1,2,5,8,6,3,7,4,27
1,2,5,8,6,4,3,7,28
1,2,5,8,6,4,7,3,27
1,2,5,8,6,7,3,4,26
1,2,5,8,6,7,4,3,26
1,2,5,8,7,3,4,6,28
1,2,5,8,7,3,6,4,26
1,2,5,8,7,4,3,6,27
1,2,5,8,7,4,6,3,28
1,2,5,8,7,6,3,4,24
1,2,5,8,7,6,4,3,27
1,2,6,3,4,5,7,8,25
1,2,6,3,4,5,8,7,24
1,2,6,3,4,7,5,8,26
1,2,6,3,4,7,8,5,27
1,2,6,3,4,8,5,7,26
1,2,6,3,4,8,7,5,28
1,2,6,3,5,4,7,8,24
1,2,6,3,5,4,8,7,26
1,2,6,3,5,7,4,8,25
1,2,6,3,5,7,8,4,28
1,2,6,3,5,8,4,7,27
1,2,6,3,5,8,7,4,28
1,2,6,3,7,4,5,8,26
1,2,6,3,7,4,8,5,28
1,2,6,3,7,5,4,8,26
1,2,6,3,7,5,8,4,27
1,2,6,3,7,8,4,5,27
1,2,6,3,7,8,5,4,26
1,2,6,3,8,4,5,7,27
1,2,6,3,8,4,7,5,27
1,2,6,3,8,5,4,7,26
1,2,6,3,8,5,7,4,28
1,2,6,3,8,7,4,5,25
1,2,6,3,8,7,5,4,27
1,2,6,4,3,5,7,8,24
1,2,6,4,3,5,8,7,26
1,2,6,4,3,7,5,8,25
1,2,6,4,3,7,8,5,27
1,2,6,4,3,8,5,7,28
1,2,6,4,3,8,7,5,28
1,2,6,4,5,3,7,8,23
1,2,6,4,5,3,8,7,27
1,2,6,4,5,7,3,8,24
1,2,6,4,5,7,8,3,28
1,2,6,4,5,8,3,7,28
1,2,6,4,5,8,7,3,28
1,2,6,4,7,3,5,8,25
1,2,6,4,7,3,8,5,27
1,2,6,4,7,5,3,8,25
1,2,6,4,7,5,8,3,27
1,2,6,4,7,8,3,5,28
1,2,6,4,7,8,5,3,28
1,2,6,4,8,3,5,7,28
1,2,6,4,8,3,7,5,26
1,2,6,4,8,5,3,7,27
1,2,6,4,8,5,7,3,27
1,2,6,4,8,7,3,5,26
1,2,6,4,8,7,5,3,28
1,2,6,5,3,4,7,8,25
1,2,6,5,3,4,8,7,27
1,2,6,5,3,7,4,8,26
1,2,6,5,3,7,8,4,28
1,2,6,5,3,8,4,7,28
1,2,6,5,3,8,7,4,28
1,2,6,5,4,3,7,8,25
1,2,6,5,4,3,8,7,26
1,2,6,5,4,7,3,8,26
1,2,6,5,4,7,8,3,28
1,2,6,5,4,8,3,7,27
1,2,6,5,4,8,7,3,28
1,2,6,5,7,3,4,8,26
1,2,6,5,7,3,8,4,27
1,2,6,5,7,4,3,8,26
1,2,6,5,7,4,8,3,28
1,2,6,5,7,8,3,4,26
1,2,6,5,7,8,4,3,27
1,2,6,5,8,3,4,7,28
1,2,6,5,8,3,7,4,28
1,2,6,5,8,4,3,7,28
1,2,6,5,8,4,7,3,28
1,2,6,5,8,7,3,4,27
1,2,6,5,8,7,4,3,27
1,2,6,7,3,4,5,8,26
1,2,6,7,3,4,8,5,28
1,2,6,7,3,5,4,8,26
1,2,6,7,3,5,8,4,28
1,2,6,7,3,8,4,5,27
1,2,6,7,3,8,5,4,27
1,2,6,7,4,3,5,8,26
1,2,6,7,4,3,8,5,27
1,2,6,7,4,5,3,8,26
1,2,6,7,4,5,8,3,26
1,2,6,7,4,8,3,5,28
1,2,6,7,4,8,5,3,27
1,2,6,7,5,3,4,8,25
1,2,6,7,5,3,8,4,28
1,2,6,7,5,4,3,8,25
1,2,6,7,5,4,8,3,27
1,2,6,7,5,8,3,4,27
1,2,6,7,5,8,4,3,26
1,2,6,7,8,3,4,5,25
1,2,6,7,8,3,5,4,27
1,2,6,7,8,4,3,5,27
1,2,6,7,8,4,5,3,27
1,2,6,7,8,5,3,4,27
1,2,6,7,8,5,4,3,25
1,2,6,8,3,4,5,7,28
1,2,6,8,3,4,7,5,28
1,2,6,8,3,5,4,7,27
1,2,6,8,3,5,7,4,27
1,2,6,8,3,7,4,5,26
1,2,6,8,3,7,5,4,26
1,2,6,8,4,3,5,7,27
1,2,6,8,4,3,7,5,27
1,2,6,8,4,5,3,7,26
1,2,6,8,4,5,7,3,27
1,2,6,8,4,7,3,5,27
1,2,6,8,4,7,5,3,28
1,2,6,8,5,3,4,7,28
1,2,6,8,5,3,7,4,27
1,2,6,8,5,4,3,7,28
1,2,6,8,5,4,7,3,28
1,2,6,8,5,7,3,4,26
1,2,6,8,5,7,4,3,27
1,2,6,8,7,3,4,5,26
1,2,6,8,7,3,5,4,25
1,2,6,8,7,4,3,5,28
1,2,6,8,7,4,5,3,28
1,2,6,8,7,5,3,4,25
1,2,6,8,7,5,4,3,26
1,2,7,3,4,5,6,8,26
1,2,7,3,4,5,8,6,28
1,2,7,3,4,6,5,8,25
1,2,7,3,4,6,8,5,28
1,2,7,3,4,8,5,6,26
1,2,7,3,4,8,6,5,27
1,2,7,3,5,4,6,8,25
1,2,7,3,5,4,8,6,27
1,2,7,3,5,6,4,8,24
1,2,7,3,5,6,8,4,27
1,2,7,3,5,8,4,6,27
1,2,7,3,5,8,6,4,28
1,2,7,3,6,4,5,8,26
1,2,7,3,6,4,8,5,28
1,2,7,3,6,5,4,8,26
1,2,7,3,6,5,8,4,28
1,2,7,3,6,8,4,5,27
1,2,7,3,6,8,5,4,27
1,2,7,3,8,4,5,6,26
1,2,7,3,8,4,6,5,26
1,2,7,3,8,5,4,6,28
1,2,7,3,8,5,6,4,28
1,2,7,3,8,6,4,5,26
1,2,7,3,8,6,5,4,26
1,2,7,4,3,5,6,8,25
1,2,7,4,3,5,8,6,27
1,2,7,4,3,6,5,8,24
1,2,7,4,3,6,8,5,28
1,2,7,4,3,8,5,6,25
1,2,7,4,3,8,6,5,27
1,2,7,4,5,3,6,8,24
1,2,7,4,5,3,8,6,28
1,2,7,4,5,6,3,8,23
1,2,7,4,5,6,8,3,28
1,2,7,4,5,8,3,6,27
1,2,7,4,5,8,6,3,28
1,2,7,4,6,3,5,8,25
1,2,7,4,6,3,8,5,27
1,2,7,4,6,5,3,8,25
1,2,7,4,6,5,8,3,26
1,2,7,4,6,8,3,5,28
1,2,7,4,6,8,5,3,27
1,2,7,4,8,3,5,6,27
1,2,7,4,8,3,6,5,25
1,2,7,4,8,5,3,6,28
1,2,7,4,8,5,6,3,27
1,2,7,4,8,6,3,5,27
1,2,7,4,8,6,5,3,28
1,2,7,5,3,4,6,8,26
1,2,7,5,3,4,8,6,26
1,2,7,5,3,6,4,8,25
1,2,7,5,3,6,8,4,27
1,2,7,5,3,8,4,6,26
1,2,7,5,3,8,6,4,28
1,2,7,5,4,3,6,8,26
1,2,7,5,4,3,8,6,28
1,2,7,5,4,6,3,8,25
1,2,7,5,4,6,8,3,28
1,2,7,5,4,8,3,6,27
1,2,7,5,4,8,6,3,28
1,2,7,5,6,3,4,8,26
1,2,7,5,6,3,8,4,28
1,2,7,5,6,4,3,8,26
1,2,7,5,6,4,8,3,27
1,2,7,5,6,8,3,4,27
1,2,7,5,6,8,4,3,26
1,2,7,5,8,3,4,6,28
1,2,7,5,8,3,6,4,28
1,2,7,5,8,4,3,6,27
1,2,7,5,8,4,6,3,28
1,2,7,5,8,6,3,4,26
1,2,7,5,8,6,4,3,27
1,2,7,6,3,4,5,8,26
1,2,7,6,3,4,8,5,28
1,2,7,6,3,5,4,8,26
1,2,7,6,3,5,8,4,28
1,2,7,6,3,8,4,5,27
1,2,7,6,3,8,5,4,27
1,2,7,6,4,3,5,8,26
1,2,7,6,4,3,8,5,27
1,2,7,6,4,5,3,8,26
1,2,7,6,4,5,8,3,27
1,2,7,6,4,8,3,5,28
1,2,7,6,4,8,5,3,28
1,2,7,6,5,3,4,8,25
1,2,7,6,5,3,8,4,28
1,2,7,6,5,4,3,8,25
1,2,7,6,5,4,8,3,28
1,2,7,6,5,8,3,4,27
1,2,7,6,5,8,4,3,27
1,2,7,6,8,3,4,5,25
1,2,7,6,8,3,5,4,27
1,2,7,6,8,4,3,5,27
1,2,7,6,8,4,5,3,28
1,2,7,6,8,5,3,4,27
1,2,7,6,8,5,4,3,26
1,2,7,8,3,4,5,6,25
1,2,7,8,3,4,6,5,27
1,2,7,8,3,5,4,6,27
1,2,7,8,3,5,6,4,27
1,2,7,8,3,6,4,5,27
1,2,7,8,3,6,5,4,25
1,2,7,8,4,3,5,6,27
1,2,7,8,4,3,6,5,26
1,2,7,8,4,5,3,6,28
1,2,7,8,4,5,6,3,27
1,2,7,8,4,6,3,5,28
1,2,7,8,4,6,5,3,28
1,2,7,8,5,3,4,6,28
1,2,7,8,5,3,6,4,27
1,2,7,8,5,4,3,6,27
1,2,7,8,5,4,6,3,28
1,2,7,8,5,6,3,4,25
1,2,7,8,5,6,4,3,27
1,2,7,8,6,3,4,5,26
1,2,7,8,6,3,5,4,26
1,2,7,8,6,4,3,5,28
1,2,7,8,6,4,5,3,27
1,2,7,8,6,5,3,4,26
1,2,7,8,6,5,4,3,25
1,2,8,3,4,5,6,7,24
1,2,8,3,4,5,7,6,27
1,2,8,3,4,6,5,7,26
1,2,8,3,4,6,7,5,28
1,2,8,3,4,7,5,6,27
1,2,8,3,4,7,6,5,26
1,2,8,3,5,4,6,7,26
1,2,8,3,5,4,7,6,26
1,2,8,3,5,6,4,7,27
1,2,8,3,5,6,7,4,27
1,2,8,3,5,7,4,6,28
1,2,8,3,5,7,6,4,28
1,2,8,3,6,4,5,7,27
1,2,8,3,6,4,7,5,28
1,2,8,3,6,5,4,7,26
1,2,8,3,6,5,7,4,28
1,2,8,3,6,7,4,5,26
1,2,8,3,6,7,5,4,27
1,2,8,3,7,4,5,6,26
1,2,8,3,7,4,6,5,27
1,2,8,3,7,5,4,6,28
1,2,8,3,7,5,6,4,27
1,2,8,3,7,6,4,5,27
1,2,8,3,7,6,5,4,25
1,2,8,4,3,5,6,7,26
1,2,8,4,3,5,7,6,26
1,2,8,4,3,6,5,7,28
1,2,8,4,3,6,7,5,28
1,2,8,4,3,7,5,6,26
1,2,8,4,3,7,6,5,26
1,2,8,4,5,3,6,7,27
1,2,8,4,5,3,7,6,27
1,2,8,4,5,6,3,7,28
1,2,8,4,5,6,7,3,27
1,2,8,4,5,7,3,6,28
1,2,8,4,5,7,6,3,27
1,2,8,4,6,3,5,7,28
1,2,8,4,6,3,7,5,27
1,2,8,4,6,5,3,7,27
1,2,8,4,6,5,7,3,25
1,2,8,4,6,7,3,5,27
1,2,8,4,6,7,5,3,26
1,2,8,4,7,3,5,6,27
1,2,8,4,7,3,6,5,26
1,2,8,4,7,5,3,6,28
1,2,8,4,7,5,6,3,26
1,2,8,4,7,6,3,5,28
1,2,8,4,7,6,5,3,27
1,2,8,5,3,4,6,7,27
1,2,8,5,3,4,7,6,25
1,2,8,5,3,6,4,7,28
1,2,8,5,3,6,7,4,27
1,2,8,5,3,7,4,6,27
1,2,8,5,3,7,6,4,28
1,2,8,5,4,3,6,7,26
1,2,8,5,4,3,7,6,27
1,2,8,5,4,6,3,7,27
1,2,8,5,4,6,7,3,27
1,2,8,5,4,7,3,6,28
1,2,8,5,4,7,6,3,27
1,2,8,5,6,3,4,7,28
1,2,8,5,6,3,7,4,28
1,2,8,5,6,4,3,7,28
1,2,8,5,6,4,7,3,26
1,2,8,5,6,7,3,4,27
1,2,8,5,6,7,4,3,25
1,2,8,5,7,3,4,6,28
1,2,8,5,7,3,6,4,27
1,2,8,5,7,4,3,6,27
1,2,8,5,7,4,6,3,27
1,2,8,5,7,6,3,4,25
1,2,8,5,7,6,4,3,26
1,2,8,6,3,4,5,7,28
1,2,8,6,3,4,7,5,28
1,2,8,6,3,5,4,7,27
1,2,8,6,3,5,7,4,28
1,2,8,6,3,7,4,5,26
1,2,8,6,3,7,5,4,27
1,2,8,6,4,3,5,7,27
1,2,8,6,4,3,7,5,27
1,2,8,6,4,5,3,7,26
1,2,8,6,4,5,7,3,26
1,2,8,6,4,7,3,5,27
1,2,8,6,4,7,5,3,27
1,2,8,6,5,3,4,7,28
1,2,8,6,5,3,7,4,28
1,2,8,6,5,4,3,7,28
1,2,8,6,5,4,7,3,27
1,2,8,6,5,7,3,4,27
1,2,8,6,5,7,4,3,26
1,2,8,6,7,3,4,5,26
1,2,8,6,7,3,5,4,26
1,2,8,6,7,4,3,5,28
1,2,8,6,7,4,5,3,27
1,2,8,6,7,5,3,4,26
1,2,8,6,7,5,4,3,25
1,2,8,7,3,4,5,6,25
1,2,8,7,3,4,6,5,27
1,2,8,7,3,5,4,6,27
1,2,8,7,3,5,6,4,28
1,2,8,7,3,6,4,5,27
1,2,8,7,3,6,5,4,26
1,2,8,7,4,3,5,6,27
1,2,8,7,4,3,6,5,26
1,2,8,7,4,5,3,6,28
1,2,8,7,4,5,6,3,25
1,2,8,7,4,6,3,5,28
1,2,8,7,4,6,5,3,26
1,2,8,7,5,3,4,6,28
1,2,8,7,5,3,6,4,28
1,2,8,7,5,4,3,6,27
1,2,8,7,5,4,6,3,26
1,2,8,7,5,6,3,4,26
1,2,8,7,5,6,4,3,25
1,2,8,7,6,3,4,5,26
1,2,8,7,6,3,5,4,27
1,2,8,7,6,4,3,5,28
1,2,8,7,6,4,5,3,25
1,2,8,7,6,5,3,4,27
1,2,8,7,6,5,4,3,23
1,3,2,4,5,6,7,8,23
1,3,2,4,5,6,8,7,26
1,3,2,4,5,7,6,8,25
1,3,2,4,5,7,8,6,28
1,3,2,4,5,8,6,7,26
1,3,2,4,5,8,7,6,26
1,3,2,4,6,5,7,8,25
1,3,2,4,6,5,8,7,25
1,3,2,4,6,7,5,8,26
1,3,2,4,6,7,8,5,27
1,3,2,4,6,8,5,7,27
1,3,2,4,6,8,7,5,28
1,3,2,4,7,5,6,8,26
1,3,2,4,7,5,8,6,28
1,3,2,4,7,6,5,8,25
1,3,2,4,7,6,8,5,28
1,3,2,4,7,8,5,6,26
1,3,2,4,7,8,6,5,27
1,3,2,4,8,5,6,7,25
1,3,2,4,8,5,7,6,27
1,3,2,4,8,6,5,7,27
1,3,2,4,8,6,7,5,27
1,3,2,4,8,7,5,6,27
1,3,2,4,8,7,6,5,25
1,3,2,5,4,6,7,8,25
1,3,2,5,4,6,8,7,25
1,3,2,5,4,7,6,8,27
1,3,2,5,4,7,8,6,28
1,3,2,5,4,8,6,7,25
1,3,2,5,4,8,7,6,26
1,3,2,5,6,4,7,8,26
1,3,2,5,6,4,8,7,26
1,3,2,5,6,7,4,8,27
1,3,2,5,6,7,8,4,28
1,3,2,5,6,8,4,7,27
1,3,2,5,6,8,7,4,28
1,3,2,5,7,4,6,8,27
1,3,2,5,7,4,8,6,27
1,3,2,5,7,6,4,8,26
1,3,2,5,7,6,8,4,26
1,3,2,5,7,8,4,6,27
1,3,2,5,7,8,6,4,27
1,3,2,5,8,4,6,7,26
1,3,2,5,8,4,7,6,26
1,3,2,5,8,6,4,7,27
1,3,2,5,8,6,7,4,27
1,3,2,5,8,7,4,6,28
1,3,2,5,8,7,6,4,28
1,3,2,6,4,5,7,8,26
1,3,2,6,4,5,8,7,24
1,3,2,6,4,7,5,8,27
1,3,2,6,4,7,8,5,27
1,3,2,6,4,8,5,7,26
1,3,2,6,4,8,7,5,28
1,3,2,6,5,4,7,8,25
